Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,9,17,6,Some Random Commen with Id 0
1,1,2,64,1,Some Random Commen with Id 1
2,3,4,162,0,Some Random Commen with Id 2
3,3,4,91,1,Some Random Commen with Id 3
4,3,4,165,5,Some Random Commen with Id 4
5,3,4,102,8,Some Random Commen with Id 5
6,3,4,123,1,Some Random Commen with Id 6
7,3,4,196,0,Some Random Commen with Id 7
8,3,4,178,4,Some Random Commen with Id 8
9,4,9,129,0,Some Random Commen with Id 9
10,4,9,143,4,Some Random Commen with Id 10
11,4,9,10,0,Some Random Commen with Id 11
12,4,9,173,5,Some Random Commen with Id 12
13,4,9,164,1,Some Random Commen with Id 13
14,4,9,3,9,Some Random Commen with Id 14
15,4,9,45,0,Some Random Commen with Id 15
16,4,9,190,3,Some Random Commen with Id 16
17,5,5,117,8,Some Random Commen with Id 17
18,5,5,14,0,Some Random Commen with Id 18
19,5,5,44,4,Some Random Commen with Id 19
20,5,5,103,9,Some Random Commen with Id 20
21,5,5,1,6,Some Random Commen with Id 21
22,5,5,23,3,Some Random Commen with Id 22
23,7,0,1,9,Some Random Commen with Id 23
24,7,0,7,8,Some Random Commen with Id 24
25,7,0,30,2,Some Random Commen with Id 25
26,7,0,10,1,Some Random Commen with Id 26
27,7,0,162,3,Some Random Commen with Id 27
28,7,0,7,5,Some Random Commen with Id 28
29,8,0,37,3,Some Random Commen with Id 29
30,8,0,6,1,Some Random Commen with Id 30
31,8,0,48,9,Some Random Commen with Id 31
32,8,0,192,3,Some Random Commen with Id 32
33,8,0,64,9,Some Random Commen with Id 33
34,8,0,148,8,Some Random Commen with Id 34
35,8,0,46,1,Some Random Commen with Id 35
36,10,2,2,2,Some Random Commen with Id 36
37,10,2,103,6,Some Random Commen with Id 37
38,10,2,167,3,Some Random Commen with Id 38
39,10,2,48,3,Some Random Commen with Id 39
40,10,2,27,8,Some Random Commen with Id 40
41,11,1,167,3,Some Random Commen with Id 41
42,11,1,181,2,Some Random Commen with Id 42
43,11,1,25,3,Some Random Commen with Id 43
44,11,1,143,3,Some Random Commen with Id 44
45,11,1,7,4,Some Random Commen with Id 45
46,11,1,100,1,Some Random Commen with Id 46
47,11,1,163,3,Some Random Commen with Id 47
48,11,1,27,3,Some Random Commen with Id 48
49,12,8,88,2,Some Random Commen with Id 49
50,12,8,167,4,Some Random Commen with Id 50
51,12,8,71,0,Some Random Commen with Id 51
52,13,9,74,6,Some Random Commen with Id 52
53,14,1,162,5,Some Random Commen with Id 53
54,14,1,53,8,Some Random Commen with Id 54
55,14,1,11,5,Some Random Commen with Id 55
56,14,1,137,2,Some Random Commen with Id 56
57,14,1,168,5,Some Random Commen with Id 57
58,14,1,117,5,Some Random Commen with Id 58
59,14,1,77,5,Some Random Commen with Id 59
60,14,1,17,6,Some Random Commen with Id 60
61,14,1,51,2,Some Random Commen with Id 61
62,15,3,29,4,Some Random Commen with Id 62
63,15,3,140,2,Some Random Commen with Id 63
64,15,3,50,3,Some Random Commen with Id 64
65,15,3,11,2,Some Random Commen with Id 65
66,15,3,140,2,Some Random Commen with Id 66
67,15,3,184,7,Some Random Commen with Id 67
68,15,3,125,9,Some Random Commen with Id 68
69,15,3,62,9,Some Random Commen with Id 69
70,15,3,33,4,Some Random Commen with Id 70
71,16,6,62,1,Some Random Commen with Id 71
72,16,6,165,2,Some Random Commen with Id 72
73,16,6,103,5,Some Random Commen with Id 73
74,16,6,18,7,Some Random Commen with Id 74
75,16,6,105,8,Some Random Commen with Id 75
76,17,1,93,1,Some Random Commen with Id 76
77,17,1,174,3,Some Random Commen with Id 77
78,17,1,76,2,Some Random Commen with Id 78
79,17,1,62,8,Some Random Commen with Id 79
80,17,1,73,9,Some Random Commen with Id 80
81,17,1,156,7,Some Random Commen with Id 81
82,18,5,11,2,Some Random Commen with Id 82
83,18,5,11,8,Some Random Commen with Id 83
84,18,5,109,6,Some Random Commen with Id 84
85,18,5,157,0,Some Random Commen with Id 85
86,18,5,19,9,Some Random Commen with Id 86
87,19,6,50,1,Some Random Commen with Id 87
88,19,6,49,4,Some Random Commen with Id 88
89,19,6,17,2,Some Random Commen with Id 89
90,19,6,52,3,Some Random Commen with Id 90
91,19,6,47,2,Some Random Commen with Id 91
92,20,1,121,5,Some Random Commen with Id 92
93,20,1,166,6,Some Random Commen with Id 93
94,21,5,22,9,Some Random Commen with Id 94
95,21,5,98,0,Some Random Commen with Id 95
96,21,5,199,1,Some Random Commen with Id 96
97,21,5,192,1,Some Random Commen with Id 97
98,21,5,41,3,Some Random Commen with Id 98
99,21,5,157,2,Some Random Commen with Id 99
100,21,5,187,0,Some Random Commen with Id 100
101,21,5,189,5,Some Random Commen with Id 101
102,22,9,51,5,Some Random Commen with Id 102
103,22,9,101,6,Some Random Commen with Id 103
104,22,9,100,8,Some Random Commen with Id 104
105,22,9,142,7,Some Random Commen with Id 105
106,22,9,137,9,Some Random Commen with Id 106
107,22,9,127,1,Some Random Commen with Id 107
108,22,9,171,1,Some Random Commen with Id 108
109,22,9,149,6,Some Random Commen with Id 109
110,22,9,183,4,Some Random Commen with Id 110
111,23,3,25,9,Some Random Commen with Id 111
112,24,7,4,7,Some Random Commen with Id 112
113,24,7,35,2,Some Random Commen with Id 113
114,26,8,12,7,Some Random Commen with Id 114
115,26,8,70,2,Some Random Commen with Id 115
116,26,8,66,5,Some Random Commen with Id 116
117,26,8,46,0,Some Random Commen with Id 117
118,26,8,82,3,Some Random Commen with Id 118
119,27,9,190,2,Some Random Commen with Id 119
120,27,9,161,9,Some Random Commen with Id 120
121,29,7,124,3,Some Random Commen with Id 121
122,29,7,162,4,Some Random Commen with Id 122
123,29,7,166,3,Some Random Commen with Id 123
124,29,7,189,1,Some Random Commen with Id 124
125,29,7,68,5,Some Random Commen with Id 125
126,29,7,47,9,Some Random Commen with Id 126
127,29,7,128,8,Some Random Commen with Id 127
128,29,7,81,0,Some Random Commen with Id 128
129,29,7,147,4,Some Random Commen with Id 129
130,31,9,100,2,Some Random Commen with Id 130
131,31,9,102,4,Some Random Commen with Id 131
132,31,9,60,7,Some Random Commen with Id 132
133,31,9,33,1,Some Random Commen with Id 133
134,31,9,127,1,Some Random Commen with Id 134
135,31,9,5,1,Some Random Commen with Id 135
136,31,9,135,4,Some Random Commen with Id 136
137,31,9,135,0,Some Random Commen with Id 137
138,31,9,141,6,Some Random Commen with Id 138
139,32,4,128,2,Some Random Commen with Id 139
140,32,4,44,1,Some Random Commen with Id 140
141,33,1,53,0,Some Random Commen with Id 141
142,33,1,23,7,Some Random Commen with Id 142
143,33,1,12,5,Some Random Commen with Id 143
144,33,1,40,7,Some Random Commen with Id 144
145,33,1,47,0,Some Random Commen with Id 145
146,33,1,84,6,Some Random Commen with Id 146
147,33,1,46,8,Some Random Commen with Id 147
148,33,1,181,7,Some Random Commen with Id 148
149,35,4,66,6,Some Random Commen with Id 149
150,35,4,38,1,Some Random Commen with Id 150
151,35,4,47,8,Some Random Commen with Id 151
152,35,4,40,2,Some Random Commen with Id 152
153,35,4,28,0,Some Random Commen with Id 153
154,36,9,138,5,Some Random Commen with Id 154
155,36,9,33,4,Some Random Commen with Id 155
156,37,6,88,5,Some Random Commen with Id 156
157,37,6,13,8,Some Random Commen with Id 157
158,37,6,100,1,Some Random Commen with Id 158
159,38,1,97,6,Some Random Commen with Id 159
160,38,1,113,5,Some Random Commen with Id 160
161,38,1,107,0,Some Random Commen with Id 161
162,38,1,124,2,Some Random Commen with Id 162
163,38,1,30,3,Some Random Commen with Id 163
164,38,1,54,4,Some Random Commen with Id 164
165,38,1,122,2,Some Random Commen with Id 165
166,39,9,131,7,Some Random Commen with Id 166
